title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
The Art of Self-Defense,"$2,410,914","$3,355","$2,414,269",Bleecker Street Media,"$114,374",550 theaters,N/A,R,"Action, Comedy, Crime, Drama, Mystery, Thriller","Jul 12, 2019"
Instant Family,"$67,363,237","$53,192,964","$120,556,201",Paramount Pictures,"$14,504,315","3,426 theaters","$48,000,000",PG-13,"Comedy, Drama","Nov 16, 2018"
Everybody Knows,"$2,660,165","$16,515,998","$19,176,163",Focus Features,"$71,207",283 theaters,N/A,R,"Crime, Drama, Mystery, Thriller","Feb 8, 2019"
Tod@s Caen,"$2,670,925","$6,996,232","$9,667,157",Pantelion Films,"$1,098,401",371 theaters,N/A,PG-13,Comedy,"Aug 30, 2019"
Kalank,"$2,729,336","$15,257,698","$17,987,034",FIP,"$1,276,581",320 theaters,N/A,Not Rated,"Drama, Romance","Apr 17, 2019"
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$495,300,000","$654,855,901",Warner Bros.,"$62,163,104","4,163 theaters","$200,000,000",PG-13,"Adventure, Family, Fantasy","Nov 16, 2018"
Saaho,"$2,872,057","$2,836,465","$5,708,522",Yash Raj Films,"$1,452,102",381 theaters,N/A,N/A,"Action, Thriller","Aug 29, 2019"
Friends 25th: The One With The Anniversary,"$2,884,827","$518,579","$3,403,406",Fathom Events,"$1,177,873","1,586 theaters",N/A,N/A,Comedy,"Sep 23, 2019"
Honey Boy,"$3,012,615","$388,362","$3,400,977",Amazon Studios,"$301,065",460 theaters,N/A,R,Drama,"Nov 8, 2019"
Bharat,"$2,971,549","$30,214,434","$33,185,983",Viva Pictures,"$1,252,301",311 theaters,N/A,Not Rated,"Action, Comedy, Drama","Jun 5, 2019"
Simmba,"$5,102,129","$46,226,896","$51,329,025",Reliance Big Pictures,"$1,758,576",301 theaters,N/A,N/A,"Action, Comedy, Crime, Drama","Dec 28, 2018"
Jay and Silent Bob Reboot,"$4,589,490","$101,758","$4,691,248",Saban Films,"$93,520",788 theaters,N/A,R,"Adventure, Comedy","Oct 15, 2019"
Maiden,"$3,168,978","$326,263","$3,495,241",Sony Pictures Classics,"$46,931",180 theaters,N/A,PG,"Biography, Documentary, Sport","Jun 28, 2019"
Creed II,"$115,715,889","$98,500,000","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,752 theaters","$50,000,000",PG-13,"Drama, Sport","Nov 21, 2018"
Echo in the Canyon,"$3,355,324",N/A,"$3,355,324",Greenwich Entertainment,"$117,651",147 theaters,N/A,PG-13,"Documentary, Music","May 24, 2019"
The Beach Bum,"$3,502,600","$1,051,816","$4,554,416",Neon,"$1,763,070","1,100 theaters",N/A,R,Comedy,"Mar 29, 2019"
BTS World Tour: Love Yourself in Seoul,"$3,509,917","$6,685,843","$10,195,760",Fathom Events,"$2,860,016",997 theaters,N/A,N/A,"Documentary, Music","Jan 26, 2019"
Mission Mangal,"$3,659,413","$2,007,644","$5,667,057",FIP,"$1,365,006",263 theaters,N/A,N/A,"Drama, History","Aug 15, 2019"
The Oscar Nominated Short Films 2019: Documentary,"$3,531,094","$7,456","$3,538,550",Shorts International,"$938,455",415 theaters,N/A,N/A,Documentary,"Feb 8, 2019"
Ne Zha,"$3,695,533","$722,367,938","$726,063,471",Well Go USA Entertainment,"$1,015,755",135 theaters,N/A,N/A,"Action, Adventure, Animation, Family, Fantasy, Thriller","Aug 29, 2019"
Pain and Glory,"$4,567,338","$32,792,351","$37,359,689",Sony Pictures Classics,"$152,636",266 theaters,N/A,R,Drama,"Oct 4, 2019"
Replicas,"$4,046,429","$5,283,646","$9,330,075",Entertainment Studios Motion Pictures,"$2,375,325","2,329 theaters",N/A,PG-13,"Drama, Sci-Fi, Thriller","Jan 11, 2019"
Uri: The Surgical Strike,"$4,186,168","$35,160,409","$39,346,577",PackYourBag Films,"$631,146",132 theaters,N/A,N/A,"Action, Drama, War","Jan 11, 2019"
Linda Ronstadt: The Sound of My Voice,"$4,252,657",N/A,"$4,252,657",Greenwich Entertainment,"$113,235",247 theaters,N/A,PG-13,"Biography, Documentary, Music","Sep 6, 2019"
Amazing Grace,"$4,450,456","$3,345,656","$7,796,112",Neon,"$57,353",263 theaters,N/A,G,"Documentary, Music","Dec 7, 2018"
The Grinch,"$270,807,000","$240,975,007","$511,782,007",Universal Pictures,"$67,572,855","4,141 theaters","$75,000,000",PG,"Animation, Comedy, Family, Fantasy","Nov 9, 2018"
The Biggest Little Farm,"$4,366,949","$881,463","$5,248,412",Neon,"$110,492",285 theaters,N/A,PG,Documentary,"May 10, 2019"
Brian Banks,"$4,376,819",N/A,"$4,376,819",Bleecker Street Media,"$2,156,272","1,240 theaters",N/A,PG-13,"Biography, Drama, Sport","Aug 9, 2019"
Menteur,"$4,697,364",N/A,"$4,697,364",Entertainment One,"$607,229",89 theaters,N/A,N/A,Comedy,"Jul 12, 2019"
Cold War,"$4,580,048","$15,715,994","$20,296,042",Amazon Studios,"$54,353",270 theaters,N/A,R,"Drama, History, Music, Romance","Dec 21, 2018"
