title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
"Phoenix, Oregon","$18,356",N/A,"$18,356",Joma Films,"$2,981",6 theaters,N/A,R,Comedy,"May 2, 2019"
Midnight Diner,"$18,555","$3,394,216","$3,412,771",Well Go USA Entertainment,"$10,861",13 theaters,N/A,N/A,Drama,"Sep 20, 2019"
The Return of Martin Guerre,"$18,603",N/A,"$18,603",Cohen Media Group,"$8,682",2 theaters,N/A,N/A,"Biography, Crime, Drama, History, Mystery, Romance","Jul 5, 2019"
Before Stonewall,"$18,724",N/A,"$18,724",First Run,"$4,588",2 theaters,N/A,N/A,"Documentary, History","Jun 21, 2019"
Out of Blue,"$18,779","$224,068","$242,847",IFC Films,"$11,719",35 theaters,N/A,N/A,"Crime, Drama, Mystery","Mar 22, 2019"
Black Mother,"$18,762","$7,157","$25,919",Grasshopper Film,N/A,4 theaters,N/A,N/A,Documentary,"Mar 9, 2019"
Girls of the Sun,"$19,712","$149,059","$168,771",Cohen Media Group,"$7,801",11 theaters,N/A,N/A,"Drama, War","Apr 12, 2019"
The Perfect Race,"$29,644",N/A,"$29,644",Five & Two Pictures,"$3,400",2 theaters,N/A,N/A,Drama,"Oct 14, 2019"
Armstrong,"$19,740","$60,429","$80,169",Gravitas Ventures,"$3,071",45 theaters,N/A,N/A,"Biography, Documentary","Jul 12, 2019"
Prassthanam,"$19,984","$77,220","$97,204",PackYourBag Films,"$12,737",32 theaters,N/A,N/A,"Action, Drama","Sep 20, 2019"
The Sound of Silence,"$20,013","$1,981","$21,994",IFC Films,"$5,449",31 theaters,N/A,N/A,Drama,"Sep 13, 2019"
General Magic,"$20,046",N/A,"$20,046",Gravitas Ventures,"$2,267",5 theaters,N/A,N/A,Documentary,"May 10, 2019"
Light of My Life,"$20,056","$1,372,842","$1,392,898",Saban Films,"$9,358",68 theaters,N/A,R,"Drama, Sci-Fi, Thriller","Aug 9, 2019"
The All Americans,"$20,324",N/A,"$20,324",Abramorama,"$7,805",5 theaters,N/A,N/A,Adult,"Nov 8, 2019"
The Gospel of Eureka,"$20,039",N/A,"$20,039",Kino Lorber,"$3,517",3 theaters,N/A,N/A,"Documentary, Music","Feb 8, 2019"
Redoubt,"$33,155",N/A,"$33,155",Grasshopper Film,"$5,253",3 theaters,N/A,N/A,Drama,"Nov 1, 2019"
The Hole in the Ground,"$21,072","$3,352,402","$3,373,474",A24,N/A,24 theaters,N/A,R,"Drama, Horror, Mystery","Mar 1, 2019"
Jane and Emma,"$380,030",N/A,"$380,030",Excel Entertainment,"$84,512",29 theaters,N/A,PG,Drama,"Oct 12, 2018"
Wicked Witches,"$21,600",N/A,"$21,600",Nocturnal Features,"$21,600",10 theaters,N/A,N/A,Horror,"Aug 9, 2019"
Island of Lemurs: Madagascar,"$11,272,213","$2,794,321","$14,066,534",Warner Bros.,"$188,307",302 theaters,N/A,N/A,"Adventure, Biography, Documentary, Family, Short","Apr 4, 2014"
Light from Light,"$24,808",N/A,"$24,808",Grasshopper Film,"$4,719",5 theaters,N/A,N/A,Drama,"Nov 1, 2019"
Hyenas,"$24,672",N/A,"$24,672",Metrograph Pictures,N/A,4 theaters,N/A,N/A,"Comedy, Drama","Apr 19, 2019"
Night School,"$77,339,130","$25,766,748","$103,105,878",Universal Pictures,"$27,257,615","3,019 theaters","$29,000,000",PG-13,Comedy,"Sep 28, 2018"
Celebration,"$22,557","$22,341","$44,898",KimStim,"$5,034",1 theater,N/A,N/A,Documentary,"Oct 2, 2019"
Wildlife,"$1,050,616","$2,270,751","$3,321,367",IFC Films,"$104,589",105 theaters,N/A,PG-13,Drama,"Oct 19, 2018"
Vox Lux,"$727,119","$712,420","$1,439,539",Neon,"$155,714",325 theaters,N/A,R,"Drama, Music","Dec 7, 2018"
Piranhas,"$23,494","$2,275,031","$2,298,525",Music Box Films,"$2,898",10 theaters,N/A,N/A,"Crime, Drama",N/A
Chasing Einstein,"$24,057",N/A,"$24,057",Atlas Distribution Company,"$9,708",4 theaters,N/A,N/A,Documentary,"Sep 13, 2019"
Invisible Life,"$146,535","$1,619,714","$1,766,249",Amazon Studios,"$8,127",18 theaters,N/A,R,Drama,"Dec 20, 2019"
Return of the Hero,"$37,108","$7,325,622","$7,362,730",Distrib Films,$761,3 theaters,N/A,N/A,"Comedy, History","Aug 30, 2018"
Asako I & II,"$25,559","$601,543","$627,102",Grasshopper Film,"$5,690",3 theaters,N/A,N/A,"Drama, Romance","May 17, 2019"
Donnybrook,"$26,284",N/A,"$26,284",IFC Films,"$9,802",80 theaters,N/A,R,"Drama, Thriller","Feb 15, 2019"
Neither Wolf Nor Dog,"$606,511",N/A,"$606,511",InYo Entertainment,N/A,1 theater,N/A,N/A,Drama,"Jan 20, 2017"
Wrestle,"$26,597",N/A,"$26,597",Oscilloscope,"$6,027",5 theaters,N/A,N/A,"Documentary, Sport","Feb 22, 2019"
Memory: The Origins of Alien,"$31,378","$5,894","$37,272",Screen Media Films,"$14,704",19 theaters,N/A,N/A,"Documentary, Horror, Sci-Fi","Oct 4, 2019"
"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073",N/A,"$27,073",Greenwich Entertainment,"$4,248",3 theaters,N/A,N/A,Documentary,"May 29, 2019"
The Day Shall Come,"$26,972","$525,061","$552,033",IFC Films,"$14,854",30 theaters,N/A,N/A,"Comedy, Crime","Sep 27, 2019"
Kind Hearts and Coronets,"$35,948","$44,847","$80,795",Rialto Pictures,"$8,004",3 theaters,N/A,N/A,"Comedy, Crime","Nov 27, 2019"
El Norte,"$27,920",N/A,"$27,920",Fathom Events,"$27,920",179 theaters,N/A,N/A,Drama,"Sep 15, 2019"
The Wind,"$28,252","$102,722","$130,974",IFC Films,"$14,138",30 theaters,N/A,R,"Horror, Mystery, Thriller, Western","Apr 5, 2019"
The Load,"$28,410",N/A,"$28,410",Grasshopper Film,"$4,094",2 theaters,N/A,N/A,Drama,"Aug 30, 2019"
Hotel by the River,"$28,354","$73,525","$101,879",The Cinema Guild,"$5,534",4 theaters,N/A,N/A,Drama,"Feb 15, 2019"
Batman & Robin,"$28,597",$196,"$28,793",Fathom Events,N/A,429 theaters,"$125,000,000",PG-13,"Action, Sci-Fi","May 14, 2019"
In the Aisles,"$28,394","$666,192","$694,586",Music Box Films,$922,6 theaters,N/A,N/A,Drama,"Jun 14, 2019"
Recorder: The Marion Stokes Project,"$55,632",N/A,"$55,632",Zeitgeist Films,"$8,216",5 theaters,N/A,N/A,Documentary,"Nov 15, 2019"
Sometimes Always Never,"$39,191","$1,377,856","$1,417,047",Blue Fox Entertainment,"$2,599",22 theaters,N/A,PG-13,"Comedy, Drama, Mystery","Jun 12, 2020"
Vault,"$29,491","$57,250","$86,741",Grindstone Entertainment,N/A,2 theaters,N/A,R,"Action, Crime, Drama, History, Thriller","Jun 7, 2019"
The Ground Beneath My Feet,"$29,251",N/A,"$29,251",Strand Releasing,"$3,295",4 theaters,N/A,N/A,Drama,"Jul 26, 2019"
Lionel Richie at Glastonbury,"$30,123",N/A,"$30,123",Fathom Events,N/A,288 theaters,N/A,N/A,Music,"Nov 19, 2019"
The Nun,"$30,245","$2,414","$32,659",Rialto Pictures,"$6,273",5 theaters,N/A,N/A,Drama,"Jan 4, 2019"
Deep Sea,"$46,412,757","$51,818,148","$98,230,905",Warner Bros.,"$700,213",47 theaters,N/A,G,"Documentary, Short","Mar 3, 2006"
Los Reyes,"$30,418",N/A,"$30,418",Grasshopper Film,"$5,661",4 theaters,N/A,N/A,Documentary,"Aug 16, 2019"
Sorry Angel,"$30,628","$1,605,645","$1,636,273",Strand Releasing,"$6,559",4 theaters,N/A,N/A,"Drama, Romance","Feb 15, 2019"
Space Station 3D,"$93,383,953","$34,979,928","$128,363,881",IMAX,"$489,488",64 theaters,N/A,N/A,Documentary,"Apr 19, 2002"
Pasolini,"$30,757",N/A,"$30,757",Kino Lorber,"$8,362",4 theaters,N/A,N/A,"Biography, Drama","May 10, 2019"
Horn from the Heart: The Paul Butterfield Story,"$58,597",N/A,"$58,597",Abramorama,"$3,086",2 theaters,N/A,N/A,"Biography, Documentary, Music","Oct 17, 2018"
Buddy,"$31,203",N/A,"$31,203",Grasshopper Film,N/A,4 theaters,N/A,N/A,Documentary,"Mar 20, 2019"
Gift,"$31,588",N/A,"$31,588",Matson Films,"$4,255",10 theaters,N/A,N/A,Documentary,"Oct 11, 2019"
Desolation Center,"$32,016",N/A,"$32,016",Matson Films,"$4,938",10 theaters,N/A,N/A,Documentary,"Sep 13, 2019"
Ága,"$35,178",N/A,"$35,178",Big World Pictures,"$2,553",3 theaters,N/A,N/A,Drama,"Sep 4, 2019"
10E,"$32,413",N/A,"$32,413",in8 Releasing,"$28,863",2 theaters,N/A,N/A,Comedy,"Sep 27, 2019"
An Acceptable Loss,"$32,427",N/A,"$32,427",IFC Films,"$3,447",25 theaters,N/A,R,"Drama, Thriller","Jan 18, 2019"
An Elephant Sitting Still,"$32,556","$7,043","$39,599",KimStim,"$10,854",2 theaters,N/A,N/A,Drama,"Mar 8, 2019"
Knife + Heart,"$32,516","$309,331","$341,847",Altered Innocence,"$4,728",6 theaters,N/A,N/A,"Drama, Horror, Mystery, Romance, Thriller","Mar 15, 2019"
Moonlight Sonata: Deafness in Three Movements,"$33,823",N/A,"$33,823",Abramorama,"$5,424",12 theaters,N/A,N/A,Documentary,"Sep 13, 2019"
Killer Unicorn,"$33,901",N/A,"$33,901",Indican Pictures,"$15,515",5 theaters,N/A,N/A,Horror,"Jun 14, 2019"
The Wild Pear Tree,"$34,014","$1,662,244","$1,696,258",The Cinema Guild,"$4,923",5 theaters,N/A,N/A,Drama,"Jan 30, 2019"
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$34,135","$7,698,913","$7,733,048",FUNimation Entertainment,N/A,30 theaters,N/A,N/A,"Animation, Comedy, Music","Aug 5, 2019"
White Snake,"$34,730","$61,597,046","$61,631,776",GKIDS,"$2,791",21 theaters,N/A,N/A,"Action, Adventure, Animation, Fantasy, Romance","Nov 15, 2019"
Loro,"$35,613",$954,"$36,567",IFC Films,"$5,317",11 theaters,N/A,N/A,"Biography, Drama","Sep 20, 2019"
Yardie,"$36,012","$1,515,151","$1,551,163",Rialto Pictures,"$22,056",77 theaters,N/A,N/A,"Crime, Drama","Mar 15, 2019"
Buñuel in the Labyrinth of the Turtles,"$36,205","$149,470","$185,675",GKIDS,"$5,691",8 theaters,N/A,N/A,"Animation, Biography, Drama, History","Aug 16, 2019"
Britt-Marie Was Here,"$36,549","$149,245","$185,794",Cohen Media Group,"$4,090",11 theaters,N/A,N/A,"Comedy, Drama, Sport","Sep 20, 2019"
The Sower,"$36,233","$396,879","$433,112",Film Movement,"$4,128",5 theaters,N/A,N/A,"Drama, Romance","Mar 1, 2019"
The Death of Dick Long,"$36,856",N/A,"$36,856",A24,"$26,630",30 theaters,N/A,R,"Comedy, Crime, Drama","Sep 27, 2019"
The Quiet One,"$37,010",N/A,"$37,010",IFC Films,"$7,695",13 theaters,N/A,N/A,"Documentary, Music","Jun 21, 2019"
Batman Forever,"$38,014",$373,"$38,387",Fathom Events,"$38,014",434 theaters,"$100,000,000",PG-13,"Action, Adventure","May 12, 2019"
Union,"$41,656",N/A,"$41,656",Indican Pictures,"$11,900",6 theaters,N/A,N/A,"Drama, History, War","Aug 2, 2019"
The Cave,"$62,625","$196,296","$258,921",National Geographic Entertainment,"$21,185",10 theaters,N/A,PG-13,"Documentary, War","Oct 18, 2019"
The Raft,"$39,678","$7,591","$47,269",Metrograph Pictures,N/A,8 theaters,N/A,N/A,Documentary,"Jun 7, 2019"
Shed of the Dead,"$38,901",N/A,"$38,901",Indican Pictures,"$18,960",10 theaters,N/A,N/A,"Comedy, Horror","May 17, 2019"
Zilla and Zoe,"$39,003",N/A,"$39,003",Indican Pictures,"$11,392",5 theaters,N/A,N/A,Comedy,"May 17, 2019"
Aniara,"$40,124",N/A,"$40,124",Magnolia Pictures,"$19,297",19 theaters,N/A,R,"Drama, Sci-Fi","May 17, 2019"
Slut in a Good Way,"$40,513","$3,727","$44,240",Comedy Dynamics,"$21,567",7 theaters,N/A,R,Comedy,"Mar 28, 2019"
Charlie Says,"$40,685","$57,555","$98,240",IFC Films,"$20,684",38 theaters,N/A,R,"Biography, Crime, Drama","May 10, 2019"
Clemency,"$364,716",$236,"$364,952",Neon,"$35,444",127 theaters,N/A,R,Drama,"Dec 27, 2019"
Midnight Traveler,"$41,265","$9,071","$50,336",Oscilloscope,"$3,549",7 theaters,N/A,N/A,"Documentary, War","Sep 18, 2019"
For Sama,"$43,796","$1,353,750","$1,397,546",PBS Distribution,"$9,350",4 theaters,N/A,N/A,"Documentary, War","Jul 26, 2019"
Vita & Virginia,"$42,741","$750,698","$793,439",IFC Films,"$3,408",32 theaters,N/A,N/A,"Biography, Drama, Romance","Aug 23, 2019"
Immortal Hero,"$43,007","$6,137,025","$6,180,032",Freestyle Releasing,"$20,629",12 theaters,N/A,PG,Drama,"Oct 18, 2019"
The Star,"$43,510","$21,459,185","$21,502,695",Sony Pictures Entertainment (SPE),"$43,510",623 theaters,"$20,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Dec 7, 2019"
Fagara,"$43,417","$1,222,532","$1,265,949",China Lion Film Distribution,"$25,206",13 theaters,N/A,N/A,"Comedy, Drama","Sep 13, 2019"
Carmine Street Guitars,"$44,253",N/A,"$44,253",Abramorama,"$6,090",5 theaters,N/A,N/A,"Documentary, Music","Apr 24, 2019"
American Dharma,"$51,891",N/A,"$51,891",Utopia,"$7,287",11 theaters,N/A,R,"Biography, Documentary","Nov 1, 2019"
Maze,"$44,381",N/A,"$44,381",Lightyear Entertainment,"$8,308",9 theaters,N/A,N/A,"Crime, Drama, History, Mystery, Thriller","Mar 22, 2019"
The Proposal,"$45,149",N/A,"$45,149",Oscilloscope,"$10,449",6 theaters,N/A,N/A,Documentary,"May 24, 2019"
What Is Democracy?,"$44,536",N/A,"$44,536",Zeitgeist Films,"$6,284",6 theaters,N/A,N/A,Documentary,"Jan 16, 2019"
High on the Hog,"$45,696",N/A,"$45,696",Indican Pictures,"$15,125",6 theaters,N/A,N/A,"Action, Crime, Drama, Thriller","Apr 19, 2019"
¡He matado a mi marido!,"$45,777","$22,240","$68,017",Hammond Entertainment,"$18,365",11 theaters,N/A,N/A,"Comedy, Crime, Romance","Mar 1, 2019"
Sympathy for the Devil,"$51,150","$63,151","$114,301",eOne Entertainment,"$12,144",8 theaters,N/A,N/A,War,"Nov 29, 2019"
Under the Silver Lake,"$46,083","$2,007,386","$2,053,469",A24,"$35,270",2 theaters,N/A,R,"Crime, Drama, Mystery, Thriller","Apr 19, 2019"
Becoming Astrid,"$120,486","$818,280","$938,766",Music Box Films,"$5,361",16 theaters,N/A,N/A,"Biography, Drama","Nov 23, 2018"
The Queen,"$47,818",N/A,"$47,818",Kino Lorber,"$7,173",7 theaters,N/A,N/A,Documentary,"Jun 28, 2019"
The Final Wish,"$25,183","$70,032","$95,215",Fathom Events,N/A,150 theaters,N/A,N/A,Horror,"Jan 24, 2019"
The Bounty Killer,"$48,815",N/A,"$48,815",Indican Pictures,"$20,805",15 theaters,N/A,N/A,"Action, Western","Jan 25, 2019"
Free Trip to Egypt,"$49,693",N/A,"$49,693",Independent,"$1,718",5 theaters,N/A,Not Rated,"Adventure, Comedy, Documentary, Drama","May 31, 2019"
"Love, Antosha","$50,168","$12,732","$62,900",Lurker Films,"$7,150",10 theaters,N/A,R,"Biography, Documentary, Music","Aug 2, 2019"
Clinton Road,"$50,400",N/A,"$50,400",Nocturnal Features,"$38,880",10 theaters,N/A,N/A,Horror,"Jun 14, 2019"
Ophelia,"$50,722","$191,393","$242,115",IFC Films,"$22,145",58 theaters,N/A,PG-13,"Drama, History, Romance, Thriller, War","Jun 28, 2019"
Making Waves: The Art of Cinematic Sound,"$53,144","$10,854","$63,998",Matson Films,"$12,348",11 theaters,N/A,N/A,Documentary,"Oct 25, 2019"
"Cyrano, My Love","$351,019","$5,634,803","$5,985,822",Roadside Attractions,N/A,18 theaters,N/A,R,"Comedy, Drama, History","Feb 8, 2019"
Greener Grass,"$51,456","$24,589","$76,045",IFC Films,"$9,305",36 theaters,N/A,N/A,Comedy,"Oct 18, 2019"
QT8: The First Eight,"$51,896","$49,450","$101,346",Fathom Events,N/A,459 theaters,N/A,N/A,Documentary,"Oct 21, 2019"
Plácido Domingo Gala,"$52,502","$258,744","$311,246",Fathom Events,"$52,502",217 theaters,N/A,N/A,N/A,"Sep 7, 2019"
One Cut of the Dead,"$52,406","$27,537,774","$27,590,180",Variance Films,"$6,360",7 theaters,N/A,N/A,"Comedy, Horror","Sep 13, 2019"
The Hate U Give,"$29,719,483","$5,214,526","$34,934,009",Twentieth Century Fox,"$512,035","2,375 theaters","$23,000,000",PG-13,"Crime, Drama",N/A
Heavy Water,"$55,446","$44,057","$99,503",Fathom Events,N/A,284 theaters,N/A,Not Rated,Documentary,"Jun 13, 2019"
Maria By Callas,"$1,267,301","$1,601,936","$2,869,237",Sony Pictures Classics,"$91,915",149 theaters,N/A,PG,"Biography, Documentary, Music","Nov 2, 2018"
John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795",N/A,"$59,795",Fathom Events,N/A,459 theaters,N/A,N/A,Music,"Nov 11, 2019"
Mickey and the Bear,"$57,188",N/A,"$57,188",Utopia,"$9,375",22 theaters,N/A,R,Drama,"Nov 15, 2019"
Last Year at Marienbad,"$63,425","$4,977","$68,402",Janus Films,"$7,644",5 theaters,N/A,N/A,"Drama, Mystery","May 17, 2019"
By the Grace of God,"$67,059","$7,688,593","$7,755,652",Music Box Films,"$7,765",11 theaters,N/A,N/A,"Crime, Drama","Oct 18, 2019"
The Mountain,"$61,035",N/A,"$61,035",Kino Lorber,"$15,785",15 theaters,N/A,N/A,Drama,"Jul 26, 2019"
Sauvage / Wild,"$61,604","$255,932","$317,536",Strand Releasing,"$7,440",7 theaters,N/A,N/A,Drama,"Apr 10, 2019"
Beautiful Boy,"$7,649,973","$8,986,631","$16,636,604",Amazon Studios,"$218,888",776 theaters,N/A,R,"Biography, Drama",N/A
End of the Century,"$66,309","$29,270","$95,579",The Cinema Guild,"$10,063",6 theaters,N/A,N/A,Drama,"Aug 16, 2019"
This Changes Everything,"$64,988","$60,360","$125,348",Fathom Events,N/A,367 theaters,N/A,N/A,Documentary,"Jul 22, 2019"
Cunningham,"$265,102","$102,686","$367,788",Magnolia Pictures,"$18,422",23 theaters,N/A,PG,"Biography, Documentary, Music","Dec 13, 2019"
Being Frank,"$67,343",N/A,"$67,343",The Film Arcade,"$16,392",13 theaters,N/A,R,Comedy,"Jun 14, 2019"
The Silence of Others,"$67,986","$221,469","$289,455",Argot Pictures,"$7,868",6 theaters,N/A,N/A,Documentary,"May 8, 2019"
The Divine Move 2: The Wrathful,"$67,578","$15,575,413","$15,642,991",CJ Entertainment,"$12,269",10 theaters,N/A,N/A,Action,"Nov 15, 2019"
The Body,"$68,196","$91,121","$159,317",Eros International,"$45,996",78 theaters,N/A,N/A,"Mystery, Thriller","Dec 13, 2019"
Diamantino,"$70,088","$164,953","$235,041",Kino Lorber,"$6,412",5 theaters,N/A,N/A,"Comedy, Drama, Fantasy, Sci-Fi","May 24, 2019"
Batman Returns,"$70,642","$10,057","$80,699",Fathom Events,N/A,507 theaters,"$80,000,000",PG-13,"Action, Crime, Fantasy","May 6, 2019"
Edie,"$71,790","$2,659,380","$2,731,170",Music Box Films,"$8,801",11 theaters,N/A,N/A,"Adventure, Drama","Sep 6, 2019"
Styx,"$70,794","$47,394","$118,188",Film Movement,"$3,420",17 theaters,N/A,N/A,Drama,"Feb 27, 2019"
The Battle of Jangsari,"$70,853","$7,812,347","$7,883,200",Well Go USA Entertainment,"$8,552",20 theaters,N/A,N/A,"Action, Drama, War","Oct 4, 2019"
Free Trip to Egypt,"$71,087",N/A,"$71,087",Fathom Events,N/A,447 theaters,N/A,Not Rated,"Adventure, Comedy, Documentary, Drama","Jun 12, 2019"
Storm Boy,"$71,760","$4,254,374","$4,326,134",Good Deed Entertainment,"$46,676",56 theaters,N/A,PG,"Adventure, Drama, Family","Apr 5, 2019"
3 Faces,"$72,324","$2,119,192","$2,191,516",Kino Lorber,"$7,065",7 theaters,N/A,N/A,"Drama, History","Mar 8, 2019"
Cliffs of Freedom,"$72,476","$228,366","$300,842",Round Hill Media,"$16,350",10 theaters,N/A,R,Drama,"Mar 1, 2019"
5B,"$72,968",N/A,"$72,968",Verizon Media/RYOT,"$38,314",128 theaters,N/A,PG-13,Documentary,"Jun 14, 2019"
Working Woman,"$64,048","$150,235","$214,283",Zeitgeist Films,"$3,875",7 theaters,N/A,N/A,Drama,"Mar 27, 2019"
"Hale County This Morning, This Evening","$112,282",N/A,"$112,282",The Cinema Guild,"$8,640",8 theaters,N/A,N/A,Documentary,"Sep 14, 2018"
Savage,"$74,491","$4,066,011","$4,140,502",Well Go USA Entertainment,"$36,590",19 theaters,N/A,Not Rated,"Action, Crime, Thriller","May 3, 2019"
Christ Stopped at Eboli,"$78,736",N/A,"$78,736",Rialto Pictures,"$9,006",3 theaters,N/A,N/A,Drama,"Apr 3, 2019"
Triple Threat,"$76,289","$269,611","$345,900",Well Go USA Entertainment,"$5,936",12 theaters,N/A,R,"Action, Thriller","Mar 19, 2019"
Fast Color,"$76,916",N/A,"$76,916",Lionsgate,"$37,594",25 theaters,N/A,PG-13,"Drama, Sci-Fi, Thriller","Apr 19, 2019"
Ploey,"$77,815","$6,068,477","$6,146,292",Viva Pictures,N/A,20 theaters,N/A,PG,"Adventure, Animation, Family","Apr 26, 2019"
A Faithful Man,"$77,491","$1,643,114","$1,720,605",Kino Lorber,"$7,321",6 theaters,N/A,N/A,"Comedy, Drama, Romance","Jul 19, 2019"
The Heiresses,"$78,473","$732,723","$811,196",Distrib Films,"$11,304",6 theaters,N/A,N/A,Drama,"Jan 16, 2019"
Saint Judy,"$78,935","$99,659","$178,594",Blue Fox Entertainment,"$39,275",55 theaters,N/A,PG-13,"Biography, Drama","Mar 1, 2019"
Swing Kids,"$222,001","$10,175,407","$10,397,408",Well Go USA Entertainment,"$43,952",21 theaters,N/A,N/A,Drama,"Dec 21, 2018"
The Old Man & the Gun,"$11,277,120","$6,583,277","$17,860,397",Fox Searchlight Pictures,"$142,131","1,042 theaters",N/A,PG-13,"Biography, Comedy, Crime, Drama, Romance",N/A
High Strung Free Dance,"$83,891","$14,590","$98,481",Atlas Distribution Company,"$54,601",106 theaters,N/A,PG,"Music, Romance","Oct 11, 2019"
Ms. Purple,"$80,657",N/A,"$80,657",Oscilloscope,"$15,734",23 theaters,N/A,N/A,Drama,"Sep 6, 2019"
Once Upon a Deadpool,"$6,100,309","$45,147,259","$51,247,568",Twentieth Century Fox,"$2,683,200","1,566 theaters","$110,000,000",R,"Action, Adventure, Comedy, Sci-Fi","Dec 12, 2018"
Looking Up,"$84,267","$122,910,316","$122,994,583",China Lion Film Distribution,"$36,541",13 theaters,N/A,N/A,Drama,"Jul 19, 2019"
Woodstock,"$84,440",N/A,"$84,440",PBS Distribution,"$8,150",11 theaters,N/A,Not Rated,"Documentary, History","May 24, 2019"
Papi Chulo,"$84,703","$14,843","$99,546",Blue Fox Entertainment,"$7,257",16 theaters,N/A,R,"Comedy, Drama","Jun 7, 2019"
Skid Row Marathon,"$84,997",N/A,"$84,997",Fathom Events,"$84,997",438 theaters,N/A,N/A,Documentary,"Oct 14, 2019"
The Third Wife,"$84,933","$220,822","$305,755",Film Movement,"$3,339",8 theaters,N/A,R,Drama,"May 15, 2019"
National Theater Live: Cyrano de Bergerac,"$86,300","$31,560","$117,860",Fathom Events,N/A,301 theaters,N/A,N/A,"Drama, Romance","Jan 23, 2019"
Mayday Life,"$85,912","$7,349,584","$7,435,496",China Lion Film Distribution,"$47,769",11 theaters,N/A,N/A,Music,"May 31, 2019"
The Chambermaid,"$86,422","$79,289","$165,711",Kino Lorber,"$5,490",5 theaters,N/A,N/A,Drama,"Jun 28, 2019"
Sonchiriya,"$86,765","$48,648","$135,413",PackYourBag Films,"$60,170",70 theaters,N/A,N/A,"Action, Crime, Drama","Mar 1, 2019"
ECCO,"$86,858",N/A,"$86,858",Citadel Film Group,"$48,205",155 theaters,N/A,R,"Crime, Drama, Thriller","Aug 9, 2019"
The Lumber Baron,"$88,336",N/A,"$88,336",Indican Pictures,"$15,059",11 theaters,N/A,PG,"Drama, History, Mystery","May 24, 2019"
Jim Allison: Breakthrough,"$87,984",N/A,"$87,984",Dada Films,"$8,679",10 theaters,N/A,PG-13,Documentary,"Sep 27, 2019"
Ramen Shop,"$88,455","$646,553","$735,008",Strand Releasing,"$5,303",10 theaters,N/A,N/A,Drama,"Mar 22, 2019"
Take Point,"$112,386","$12,795,646","$12,908,032",CJ Entertainment,"$21,189",25 theaters,N/A,N/A,"Action, Thriller","Dec 27, 2018"
Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$90,341","$2,312,689","$2,403,030",Fathom Events,N/A,445 theaters,N/A,N/A,"Animation, Drama, Family, Music","Jul 11, 2019"
Varda by Agnès,"$160,765","$74,497","$235,262",Janus Films,"$12,390",10 theaters,N/A,N/A,"Biography, Documentary","Nov 22, 2019"
My Dear Liar,"$90,545","$31,087,423","$31,177,968",CMC Pictures,"$36,787",29 theaters,N/A,N/A,Drama,"Nov 8, 2019"
